service_name,name
"ASP.NET State Service","aspnet_state"
"AVCTP service","BthAvctpSvc"
"Active Directory Domain Services","NTDS"
"Active Directory Web Services","ADWS"
"ActiveX Installer (AxInstSV)","AxInstSV"
"AggregationService","AggregationService"
"AllJoyn Router Service","AJRouter"
"App Readiness","AppReadiness"
"AppDynamics.Agent.Coordinator","AppDynamics.Agent.Coordinator_service"
"AppX Deployment Service (AppXSVC)","AppXSvc"
"Application Experience","AeLookupSvc"
"Application Host Helper Service","AppHostSvc"
"Application Identity","AppIDSvc"
"Application Information","Appinfo"
"Application Layer Gateway Service","ALG"
"Application Management","AppMgmt"
"Auto Time Zone Updater","tzautoupdate"
"Azure Backup Workload Coordinator Service","AzureWLBackupCoordinatorSvc"
"Azure Backup Workload Inquiry Service","AzureWLBackupInquirySvc"
"Azure Backup Workload Plugin Service","AzureWLBackupPluginSvc"
"Azure DevOps Server Background Job Agent","TFSJobAgent"
"Azure DevOps Ssh Service","TeamFoundationSshService"
"Azure Network Watcher Agent","AzureNetworkWatcherAgent"
"Azure Pipelines Agent (tfs.Default.agt.KC-TFS-BLD01-P.3.242.0_01)","vstsagent.tfs.Default.agt.KC-TFS-BLD01-P.3.242.0_01"
"Azure Pipelines Agent (tfs.Default.agt.KC-TFS-BLD01-P.3.242.0_02)","vstsagent.tfs.Default.agt.KC-TFS-BLD01-P.3.242.0_02"
"Azure Pipelines Agent (tfs.Default.agt.KC-TFS-BLD01-P.3.242.0_03)","vstsagent.tfs.Default.agt.KC-TFS-BLD01-P.3.242.0_03"
"Azure Pipelines Agent (tfs.Default.agt.KC-TFS-BLD01-P.3.242.0_04)","vstsagent.tfs.Default.agt.KC-TFS-BLD01-P.3.242.0_04"
"Azure Pipelines Agent (tfs.Default.agt.KC-TFS-BLD01-P.3.242.0_05)","vstsagent.tfs.Default.agt.KC-TFS-BLD01-P.3.242.0_05"
"Azure Pipelines Agent (tfs.Default.agt.KC-TFS-BLD01-P.3.242.0_06)","vstsagent.tfs.Default.agt.KC-TFS-BLD01-P.3.242.0_06"
"Azure Pipelines Agent (tfs.Default.agt.KC-TFS-BLD01-P.3.242.0_07)","vstsagent.tfs.Default.agt.KC-TFS-BLD01-P.3.242.0_07"
"Azure Pipelines Agent (tfs.Default.agt.KC-TFS-BLD01-P.3.242.0_08)","vstsagent.tfs.Default.agt.KC-TFS-BLD01-P.3.242.0_08"
"Azure Pipelines Agent (tfs.Default.agt.KC-TFS-BLD01-P.3.242.0_09)","vstsagent.tfs.Default.agt.KC-TFS-BLD01-P.3.242.0_09"
"Azure Pipelines Agent (tfs.Default.agt.KC-TFS-BLD01-P.3.242.0_10)","vstsagent.tfs.Default.agt.KC-TFS-BLD01-P.3.242.0_10"
"Azure Pipelines Agent (tfs.Default.agt.KC-TFS-BLD01-P.3.242.0_11)","vstsagent.tfs.Default.agt.KC-TFS-BLD01-P.3.242.0_11"
"Azure Pipelines Agent (tfs.Default.agt.KC-TFS-BLD01-P.3.242.0_12)","vstsagent.tfs.Default.agt.KC-TFS-BLD01-P.3.242.0_12"
"Azure Pipelines Agent (tfs.Default.agt.KC-TFS-BLD01-P.3.242.0_13)","vstsagent.tfs.Default.agt.KC-TFS-BLD01-P.3.242.0_13"
"Azure Pipelines Agent (tfs.Default.agt.KC-TFS-BLD01-P.3.242.0_14)","vstsagent.tfs.Default.agt.KC-TFS-BLD01-P.3.242.0_14"
"Azure Pipelines Agent (tfs.Default.agt.KC-TFS-BLD01-P.3.242.0_15)","vstsagent.tfs.Default.agt.KC-TFS-BLD01-P.3.242.0_15"
"Azure Pipelines Agent (tfs.Default.agt.KC-TFS-BLD01-P.3.242.0_16)","vstsagent.tfs.Default.agt.KC-TFS-BLD01-P.3.242.0_16"
"Azure Pipelines Agent (tfs.Default.agt.KC-TFS-BLD01-P.3.242.0_17)","vstsagent.tfs.Default.agt.KC-TFS-BLD01-P.3.242.0_17"
"Azure Pipelines Agent (tfs.Default.agt.KC-TFS-BLD01-P.3.242.0_18)","vstsagent.tfs.Default.agt.KC-TFS-BLD01-P.3.242.0_18"
"Azure Pipelines Agent (tfs.Default.agt.KC-TFS-BLD01-P.3.242.0_19)","vstsagent.tfs.Default.agt.KC-TFS-BLD01-P.3.242.0_19"
"Azure Pipelines Agent (tfs.Default.agt.KC-TFS-BLD01-P.3.242.0_20)","vstsagent.tfs.Default.agt.KC-TFS-BLD01-P.3.242.0_20"
"Azure Site Recovery VSS Provider","Azure Site Recovery VSS Provider"
"AzureAttestService","AzureAttestService"
"Background Intelligent Transfer Service","BITS"
"Background Tasks Infrastructure Service","BrokerInfrastructure"
"Base Filtering Engine","BFE"
"BitLocker Drive Encryption Service","BDESVC"
"Bluetooth Audio Gateway Service","BTAGService"
"Bluetooth Support Service","bthserv"
"CNG Key Isolation","KeyIso"
"COM+ Event System","EventSystem"
"COM+ System Application","COMSysApp"
"CPrepSrv","CPrepSrv"
"Capability Access Manager Service","camsvc"
"Certificate Propagation","CertPropSvc"
"Cisco AD Connector","OpenDNS Active Directory Service"
"Claims to Windows Token Service","c2wts"
"Client License Service (ClipSVC)","ClipSVC"
"Cluster Service","ClusSvc"
"Computer Browser","Browser"
"ConfigMgr Task Sequence Agent","smstsmgr"
"Configuration Manager Remote Control","CmRcService"
"Connected Devices Platform Service","CDPSvc"
"Connected User Experiences and Telemetry","DiagTrack"
"CoreMessaging","CoreMessagingRegistrar"
"Credential Manager","VaultSvc"
"Cryptographic Services","CryptSvc"
"DCOM Server Process Launcher","DcomLaunch"
"DFS Namespace","Dfs"
"DFS Replication","DFSR"
"DHCP Client","Dhcp"
"DHCP Server","DHCPServer"
"DNS Client","Dnscache"
"DS Role Server","DsRoleSvc"
"Data Sharing Service","DsSvc"
"DataCollectionPublishingService","DcpSvc"
"Debug Diagnostic Service","DbgSvc"
"Delivery Optimization","DoSvc"
"Dell EMC vProxy Agent","vflragentd"
"DevQuery Background Discovery Broker","DevQueryBroker"
"Device Association Service","DeviceAssociationService"
"Device Install Service","DeviceInstall"
"Device Management Enrollment Service","DmEnrollmentSvc"
"Device Management Wireless Application Protocol (WAP) Push message Routing Service","dmwappushservice"
"Device Setup Manager","DsmSvc"
"Diagnostic Policy Service","DPS"
"Diagnostic Service Host","WdiServiceHost"
"Diagnostic System Host","WdiSystemHost"
"Diagnostics Tracking Service","DiagTrack"
"Distributed Link Tracking Client","TrkWks"
"Distributed Transaction Coordinator","MSDTC"
"Docker Engine","docker"
"Downloaded Maps Manager","MapsBroker"
"Dynatrace OneAgent","Dynatrace OneAgent"
"EFT Server","EFT Server"
"EMC PowerPath Migration Service 6.2.0","EmcPowMig"
"EMC PowerPath Remote Management component","EmcpMgmtComp"
"EMC PowerPath Service 6.2.0","EmcPowSrv"
"Elasticsearch 6.2.4 (elasticsearch-service-x64)","elasticsearch-service-x64"
"Elasticsearch 7.16.3 (WhatsUp)","WhatsUp"
"Embedded Mode","embeddedmode"
"Encrypting File System (EFS)","EFS"
"Enterprise App Management Service","EntAppSvc"
"Extensible Authentication Protocol","EapHost"
"Extensible Authentication Protocol","Eaphost"
"FcSrv","FcSrv"
"File Replication","NtFrs"
"File Server Resource Manager","SrmSvc"
"File Server Storage Reports Manager","SrmReports"
"ForeScout Remote Inspection Service","fsprocsvc"
"ForeScout SecureConnector Service","SecureConnector"
"Function Discovery Provider Host","fdPHost"
"Function Discovery Resource Publication","FDResPub"
"GISvc","GISvc"
"Geolocation Service","lfsvc"
"Google Chrome Elevation Service (GoogleChromeElevationService)","GoogleChromeElevationService"
"Google Update Service (gupdate)","gupdate"
"Google Update Service (gupdatem)","gupdatem"
"Google Updater Internal Service (GoogleUpdaterInternalService132.0.6833.0)","GoogleUpdaterInternalService132.0.6833.0"
"Google Updater Service (GoogleUpdaterService132.0.6833.0)","GoogleUpdaterService132.0.6833.0"
"GraphicsPerfSvc","GraphicsPerfSvc"
"Group Policy Client","gpsvc"
"HV Host Service","HvHost"
"Health Key and Certificate Management","hkmsvc"
"Host Guardian Client Service","HgClientService"
"Host Network Service","hns"
"Human Interface Device Service","hidserv"
"Hyper-V Data Exchange Service","vmickvpexchange"
"Hyper-V Guest Service Interface","vmicguestinterface"
"Hyper-V Guest Shutdown Service","vmicshutdown"
"Hyper-V Heartbeat Service","vmicheartbeat"
"Hyper-V Host Compute Service","vmcompute"
"Hyper-V PowerShell Direct Service","vmicvmsession"
"Hyper-V Remote Desktop Virtualization Service","vmicrdv"
"Hyper-V Time Synchronization Service","vmictimesync"
"Hyper-V Virtual Machine Management","vmms"
"Hyper-V Volume Shadow Copy Requestor","vmicvss"
"IIS Admin Service","IISADMIN"
"IKE and AuthIP IPsec Keying Modules","IKEEXT"
"IP Helper","iphlpsvc"
"IPsec Policy Agent","PolicyAgent"
"IaasVmProvider","IaasVmProvider"
"Idera - Collector smgd_svc_sqldm_admin","idera_swa_deploy_smgd_svc_sqldm_admin"
"Idera - Framework","idera_swa_tomcat"
"Idera - PMDB","idera_swa_postgresql"
"Idera Dashboard Core Service","IderaDashboardCoreService"
"Idera Dashboard Web Application Service","IderaDashboardWebAppService"
"InMage Scout Application Service","InMage Scout Application Service"
"InMage Scout FX Agent","frsvc"
"InMage Scout VX Agent - Sentinel/Outpost","svagents"
"Interactive Services Detection","UI0Detect"
"Internet Connection Sharing (ICS)","SharedAccess"
"Internet Explorer ETW Collector Service","IEEtwCollectorService"
"Intersite Messaging","IsmServ"
"Intune ODJConnector Service","ODJConnectorSvc"
"Ipswitch Service Control Manager","Ipswitch Service Control Manager"
"Ipswitch TFTP Server","TFTPService"
"KDC Proxy Server service (KPS)","KPSSVC"
"Kerberos Key Distribution Center","Kdc"
"KtmRm for Distributed Transaction Coordinator","KtmRm"
"Link-Layer Topology Discovery Mapper","lltdsvc"
"Local Session Manager","LSM"
"Log Collector Service","Log Collector Service"
"Log Management Collector Service","Log Management Collector Service"
"Logstash - F5 LTM AFM Listener","LS_F5_LTM_AFM"
"Logstash - F5 LTM ASM Listener","LS_F5_LTM_ASM"
"Logstash - F5 LTM Bot Defense Listener","LS_F5_LTM_BOTDEF"
"Logstash - F5 LTM Syslog Listener","LS_F5_LTM_Syslog"
"Logstash - FMC Syslog Listener","LS_FMC_Syslog"
"MS-MPI Launch Service","MsMpiLaunchSvc"
"MailMarshal Archiver","MMArchiver"
"MailMarshal Array Manager","MMArrayManager"
"MailMarshal Controller","MMController"
"MailMarshal DMARC Report Import","MMDMARCReport"
"MailMarshal Engine","MMEngine"
"MailMarshal POP3 Server","MMPop3"
"MailMarshal Receiver","MMReceiver"
"MailMarshal Sender","MMSender"
"MailMarshal Syslog","MMSyslog"
"MailMarshal Updater","MMUpdater"
"ManageEngine DataSecurity Plus - DataEngine XNode","ManageEngine DataSecurity Plus - DataEngine XNode"
"ManageEngine DataSecurity Plus","DataSecurity Plus"
"ManageEngineDataSecurityPlus -AgentService","ManageEngineDataSecurityPlus -AgentService"
"Message Queuing","MSMQ"
"Microsoft (R) Diagnostics Hub Standard Collector Service","diagnosticshub.standardcollector.service"
"Microsoft Account Sign-in Assistant","wlidsvc"
"Microsoft App-V Client","AppVClient"
"Microsoft Azure AD Connect Agent Updater","AzureADConnectAgentUpdater"
"Microsoft Dependency Agent","MicrosoftDependencyAgent"
"Microsoft Edge Elevation Service (MicrosoftEdgeElevationService)","MicrosoftEdgeElevationService"
"Microsoft Edge Elevation Service (MicrosoftEdgeElevationService1d9e05147b44084)","MicrosoftEdgeElevationService1d9e05147b44084"
"Microsoft Edge Update Service (edgeupdate)","edgeupdate"
"Microsoft Edge Update Service (edgeupdatem)","edgeupdatem"
"Microsoft Exchange Active Directory Topology","MSExchangeADTopology"
"Microsoft Exchange Anti-spam Update","MSExchangeAntispamUpdate"
"Microsoft Exchange Compliance Audit","MSComplianceAudit"
"Microsoft Exchange Compliance Service","MSExchangeCompliance"
"Microsoft Exchange DAG Management","MSExchangeDagMgmt"
"Microsoft Exchange Diagnostics","MSExchangeDiagnostics"
"Microsoft Exchange EdgeSync","MSExchangeEdgeSync"
"Microsoft Exchange Emergency Mitigation Service","MSExchangeMitigation"
"Microsoft Exchange Frontend Transport","MSExchangeFrontEndTransport"
"Microsoft Exchange Health Manager Recovery","MSExchangeHMRecovery"
"Microsoft Exchange Health Manager","MSExchangeHM"
"Microsoft Exchange IMAP4 Backend","MSExchangeIMAP4BE"
"Microsoft Exchange IMAP4","MSExchangeImap4"
"Microsoft Exchange Information Store","MSExchangeIS"
"Microsoft Exchange Mailbox Assistants","MSExchangeMailboxAssistants"
"Microsoft Exchange Mailbox Replication","MSExchangeMailboxReplication"
"Microsoft Exchange Mailbox Transport Delivery","MSExchangeDelivery"
"Microsoft Exchange Mailbox Transport Submission","MSExchangeSubmission"
"Microsoft Exchange Notifications Broker","MSExchangeNotificationsBroker"
"Microsoft Exchange POP3 Backend","MSExchangePOP3BE"
"Microsoft Exchange POP3","MSExchangePop3"
"Microsoft Exchange RPC Client Access","MSExchangeRPC"
"Microsoft Exchange Replication","MSExchangeRepl"
"Microsoft Exchange Search Host Controller","HostControllerService"
"Microsoft Exchange Search","MSExchangeFastSearch"
"Microsoft Exchange Server Extension for Windows Server Backup","wsbexchange"
"Microsoft Exchange Service Host","MSExchangeServiceHost"
"Microsoft Exchange Throttling","MSExchangeThrottling"
"Microsoft Exchange Transport Log Search","MSExchangeTransportLogSearch"
"Microsoft Exchange Transport","MSExchangeTransport"
"Microsoft Exchange Unified Messaging Call Router","MSExchangeUMCR"
"Microsoft Exchange Unified Messaging","MSExchangeUM"
"Microsoft Filtering Management Service","FMS"
"Microsoft Key Distribution Service","KdsSvc"
"Microsoft Monitoring Agent APM","System Center Management APM"
"Microsoft Monitoring Agent Audit Forwarding","AdtAgent"
"Microsoft Monitoring Agent Azure VM Extension Heartbeat Service","MMAExtensionHeartbeatService"
"Microsoft Monitoring Agent","HealthService"
"Microsoft Passport Container","NgcCtnrSvc"
"Microsoft Passport","NgcSvc"
"Microsoft Policy Platform Local Authority","lpasvc"
"Microsoft Policy Platform Processor","lppsvc"
"Microsoft SQL Server IaaS Agent","SQLIaaSExtension"
"Microsoft SQL Server IaaS Query Service","SQLIaaSExtensionQuery"
"Microsoft SQL Server IaaS Query Service","SqlIaaSExtensionQuery"
"Microsoft Software Shadow Copy Provider","swprv"
"Microsoft Storage Spaces SMP","smphost"
"Microsoft Store Install Service","InstallService"
"Microsoft iSCSI Initiator Service","MSiSCSI"
"Multimedia Class Scheduler","MMCSS"
"Net.Msmq Listener Adapter","NetMsmqActivator"
"Net.Pipe Listener Adapter","NetPipeActivator"
"Net.Tcp Listener Adapter","NetTcpActivator"
"Net.Tcp Port Sharing Service","NetTcpPortSharing"
"Netlogon","Netlogon"
"Network Access Protection Agent","napagent"
"Network Connection Broker","NcbService"
"Network Connections","Netman"
"Network Connectivity Assistant","NcaSvc"
"Network List Service","netprofm"
"Network Location Awareness","NlaSvc"
"Network Policy Server","IAS"
"Network Setup Service","NetSetupSvc"
"Network Store Interface Service","nsi"
"Network Virtualization Service","nvagent"
"New Relic Infrastructure Agent","newrelic-infra"
"New Relic Server Monitor Service","nrsvrmon"
"OctopusDeploy Tentacle","OctopusDeploy Tentacle"
"OctopusDeploy Tentacle: octopus-agent-operations","OctopusDeploy Tentacle: octopus-agent-operations"
"OctopusDeploy Tentacle: tfs-automation-agent-02","OctopusDeploy Tentacle: tfs-automation-agent-02"
"Office  Source Engine","ose"
"Office 64 Source Engine","ose64"
"Offline Files","CscService"
"OpenSSH Authentication Agent","ssh-agent"
"Optimize drives","defragsvc"
"PSEXESVC","PSEXESVC"
"Payments and NFC/SE Manager","SEMgrSvc"
"Performance Counter DLL Host","PerfHost"
"Performance Logs & Alerts","pla"
"Phone Service","PhoneSvc"
"Plug and Play","PlugPlay"
"Portable Device Enumerator Service","WPDBusEnum"
"Power","Power"
"PowerProtect Agent Service","AgentService"
"Precise Alerts Agent","pspu_point_8.7"
"Precise Alerts FocalPoint","pspf_focal_8.7"
"Precise FocalPoint","psin_i3fp_8.7"
"Precise Insight FocalPoint","psis_focal_8.7"
"Precise PMDB FocalPoint","pspw_focal_8.7"
"Precise Report Manager FocalPoint","psfs_focal_8.7"
"Precise Sentry","psin_sentry_8.7"
"Precise TPM FocalPoint","pstp_focal_8.7"
"Precise Web GUI","psin_gui_8.7"
"Precise for SQL Server Collector CH-DBA-SQL10-P$INTERNAL","PssMSSqlCH-DBA-SQL10-P$INTERNAL80"
"Precise for SQL Server Collector PRODINTSQL01$INTERNAL","PssMSSqlPRODINTSQL01$INTERNAL80"
"Precise for SQL Server Collector SRV_PROD_REPORT$SMGREPORT","PssMSSqlSRV_PROD_REPORT$SMGREPORT80"
"Precise for SQL Server Collector SRV_PROD_TRANS$SMGTRANS","PssMSSqlSRV_PROD_TRANS$SMGTRANS80"
"Precise for SQL Server FocalPoint","pssq_focal_8.7"
"Print Spooler","Spooler"
"Printer Extensions and Notifications","PrintNotify"
"Problem Reports and Solutions Control Panel Support","wercplsupport"
"Program Compatibility Assistant Service","PcaSvc"
"Quality Windows Audio Video Experience","QWAVE"
"Quest KACE Agent WatchDog","AMPWatchDog"
"Quest KACE Offline Scheduler","OfflineScheduler"
"Quest KACE One Agent","konea"
"RDS FASTCopy Server (fcopyd)","fcservice.exe"
"RDS Scheduler","repliweb_scheduler_service.exe"
"RDS Server","repliweb_server.exe"
"RPC Endpoint Mapper","RpcEptMapper"
"RPC/HTTP Load Balancing Service","RPCHTTPLBS"
"RabbitMQ","RabbitMQ"
"Radio Management Service","RmSvc"
"RdAgent","RdAgent"
"Remote Access Auto Connection Manager","RasAuto"
"Remote Access Connection Manager","RasMan"
"Remote Desktop Configuration","SessionEnv"
"Remote Desktop Services UserMode Port Redirector","UmRdpService"
"Remote Desktop Services","TermService"
"Remote Packet Capture Protocol v.0 (experimental)","rpcapd"
"Remote Procedure Call (RPC) Locator","RpcLocator"
"Remote Procedure Call (RPC)","RpcSs"
"Remote Registry","RemoteRegistry"
"ReportRunnerService","ReportRunnerService"
"Reprocessing.Themes.DetailsWriter","Reprocessing.Themes.DetailsWriter"
"Resultant Set of Policy Provider","RSoPProv"
"Routing and Remote Access","RemoteAccess"
"SMB Witness","SmbWitness"
"SMG Service Structures Recurring File Import","SMG.Service.Structure.RecurringFileImport"
"SMG.360.Textkey.Writer","SMG.360.Textkey.Writer"
"SMG.ARP.Service","SMG.ARP.Service"
"SMG.AggregatedInsights.Processor","SMG.AggregatedInsights.Processor"
"SMG.Alert.ReplicationConsumer","SMG.Alert.ReplicationConsumer"
