service_name,name
"SMG.Audio.Processing.Service","SMG.Audio.Processing.Service"
"SMG.Capture.BrowserInfo.Service","BrowserInfo.Service"
"SMG.CaseManagement.EmailProvider.Service","SMG.CaseManagement.EmailProvider.Service"
"SMG.CaseManagement.Service","SMG.CaseManagement.Service"
"SMG.CaseManagement.Timeline.App","SMG.CaseManagement.Timeline.App"
"SMG.Catalog.Persistence","SMG.Catalog.Persistence"
"SMG.ConnectorProcessor","SMG.ConnectorProcessor"
"SMG.Data.Load.Windows.Service","SMG.Data.Load.Windows.Service"
"SMG.Data.Streaming.ElasticPersistence","SMG.Data.Streaming.ElasticPersistence"
"SMG.Data.Streaming.ElasticPersistence.Replication","SMG.Data.Streaming.ElasticPersistence.Replication"
"SMG.Data.Streaming.ElasticResponseMapper.DataLoad","SMG.Data.Streaming.ElasticResponseMapper.DataLoad"
"SMG.Data.Streaming.ElasticResponseMapper.Streaming","SMG.Data.Streaming.ElasticResponseMapper.Streaming"
"SMG.Data.Streaming.FactEnrichment.DataLoad","SMG.Data.Streaming.FactEnrichment.DataLoad"
"SMG.Data.Streaming.FactEnrichment.Streaming","SMG.Data.Streaming.FactEnrichment.Streaming"
"SMG.Data.Streaming.LegacyTa.ShimWriter","SMG.Data.Streaming.LegacyTa.ShimWriter"
"SMG.Data.Streaming.MissingTaReprocessor","SMG.Data.Streaming.MissingTaReprocessor"
"SMG.Data.Streaming.TabularMapper.DataLoad","SMG.Data.Streaming.TabularMapper.DataLoad"
"SMG.Data.Streaming.TabularMapper.Streaming","SMG.Data.Streaming.TabularMapper.Streaming"
"SMG.Data.Streaming.TextProcessing.DONOTDELETE","SMG.Data.Streaming.TextProcessing.DONOTDELETE"
"SMG.Data.Streaming.TextProcessing.DataLoad","SMG.Data.Streaming.TextProcessing.DataLoad"
"SMG.Data.Streaming.TextProcessing.DataLoad.01","SMG.Data.Streaming.TextProcessing.DataLoad.01"
"SMG.Data.Streaming.TextProcessing.DataLoad.02","SMG.Data.Streaming.TextProcessing.DataLoad.02"
"SMG.Data.Streaming.TextProcessing.DataLoad.03","SMG.Data.Streaming.TextProcessing.DataLoad.03"
"SMG.Data.Streaming.TextProcessing.DataLoad.04","SMG.Data.Streaming.TextProcessing.DataLoad.04"
"SMG.Data.Streaming.TextProcessing.DeadLetter.DataLoad","SMG.Data.Streaming.TextProcessing.DeadLetter.DataLoad"
"SMG.Data.Streaming.TextProcessing.DeadLetter.Streaming","SMG.Data.Streaming.TextProcessing.DeadLetter.Streaming"
"SMG.Data.Streaming.TextProcessing.Streaming","SMG.Data.Streaming.TextProcessing.Streaming"
"SMG.Data.Streaming.TextProcessing.Streaming.01","SMG.Data.Streaming.TextProcessing.Streaming.01"
"SMG.Data.Streaming.TextProcessing.Streaming.02","SMG.Data.Streaming.TextProcessing.Streaming.02"
"SMG.Data.Streaming.TextProcessing.Streaming.03","SMG.Data.Streaming.TextProcessing.Streaming.03"
"SMG.Data.Streaming.TextProcessing.Streaming.04","SMG.Data.Streaming.TextProcessing.Streaming.04"
"SMG.DevOps.Monitor","SMG.DevOps.Monitor"
"SMG.EMS.ConfigurationDetectionManagerService (Instance: 001)","SMG.EMS.ConfigurationDetectionManagerService$001"
"SMG.EMS.ConfigurationDetectionManagerService (Instance: 002)","SMG.EMS.ConfigurationDetectionManagerService$002"
"SMG.EMS.ConfigurationDetectionManagerService (Instance: 003)","SMG.EMS.ConfigurationDetectionManagerService$003"
"SMG.EMS.ConfigurationDetectionManagerService (Instance: 1)","SMG.EMS.ConfigurationDetectionManagerService$1"
"SMG.EMS.ConfigurationDetectionManagerService","SMG.EMS.ConfigurationDetectionManagerService"
"SMG.EMS.EventManagerService (Instance: 00)","SMG.EMS.EventManagerService$00"
"SMG.EMS.EventManagerService (Instance: 000)","SMG.EMS.EventManagerService$000"
"SMG.EMS.EventManagerService (Instance: 001)","SMG.EMS.EventManagerService$001"
"SMG.EMS.EventManagerService (Instance: 002)","SMG.EMS.EventManagerService$002"
"SMG.EMS.EventManagerService (Instance: 003)","SMG.EMS.EventManagerService$003"
"SMG.EMS.EventManagerService (Instance: 004)","SMG.EMS.EventManagerService$004"
"SMG.EMS.EventManagerService (Instance: 005)","SMG.EMS.EventManagerService$005"
"SMG.EMS.EventManagerService","SMG.EMS.EventManagerService"
"SMG.EMS.ImportService","SMG.EMS.ImportService"
"SMG.EMS.MessageShovelService","SMG.EMS.MessageShovelService"
"SMG.EMS.ResponseManagerService","SMG.EMS.ResponseManagerService"
"SMG.EMS.ScheduleManagerService","SMG.EMS.ScheduleManagerService"
"SMG.EMS.SurveyHierarchyBatchService","SMG.EMS.SurveyHierarchyBatchService"
"SMG.EMS.SystemTestRunner","SMG.EMS.SystemTestRunner"
"SMG.EmailProvider.Service","SMG.EmailProvider.Service"
"SMG.Feedback.Gating.Service","SMG.Feedback.Gating.Service"
"SMG.Feedback.QueueProcessor","SMG.Feedback.QueueProcessor"
"SMG.Feedback.etl-calls","SMG.Feedback.etl-calls"
"SMG.FileMover.Service","SMG.FileMover.Service"
"SMG.FileProvider.Service","SMG.FileProvider.Service"
"SMG.HealthCheck.Monitor","SMG.HealthCheck.Monitor"
"SMG.Hierarchy.Service.Changeset.Bulk.Change.Processor","SMG.Hierarchy.Service.Changeset.Bulk.Change.Processor"
"SMG.Hierarchy.Service.Changeset.Changeset.Applicator","SMG.Hierarchy.Service.Changeset.Changeset.Applicator"
"SMG.Hierarchy.Service.Changeset.Graph.PostProcessing","SMG.Hierarchy.Service.Changeset.Graph.PostProcessing"
"SMG.Hierarchy.Service.Changeset.Recurring.File.Processor","SMG.Hierarchy.Service.Changeset.Recurring.File.Processor"
"SMG.Instrumentation.Console","SMG.Instrumentation.Console"
"SMG.PGPService","SMG.PGPService"
"SMG.ProtectedData.Ingestion.Service","SMG.ProtectedData.Ingestion.Service"
"SMG.Publication.Scheduler","SMG.Publication.Scheduler"
"SMG.Publication.Service","SMG.Publication.Service"
"SMG.PushNotifications.Service","SMG.PushNotifications.Service"
"SMG.QueueArchiver.Monitor","SMG.QueueArchiver.Monitor"
"SMG.Reprocessing.ElasticWriter","SMG.Reprocessing.ElasticWriter"
"SMG.Reprocessing.NodeManager","SMG.Reprocessing.NodeManager"
"SMG.Reprocessing.Service","SMG.Reprocessing.Service"
"SMG.RequestProcessingService","SMG.RequestProcessingService"
"SMG.Rosetta.PortalConnectorService","SMG.Rosetta.PortalConnectorService"
"SMG.Rosetta.Sources.Persistence","SMG.Rosetta.Sources.Persistence"
"SMG.Rosetta.StormValidator.Service","SMG.Rosetta.StormValidator.Service"
"SMG.SMS.QueueConsumer","SMG.SMS.QueueConsumer"
"SMG.Scheduler.Service","SMG.Scheduler.Service"
"SMG.Social.ConnectorService","SMG.Social.ConnectorService"
"SMG.Streaming.Trace","SMG.Streaming.Trace"
"SMG.Streaming.Validation.Service","SMG.Streaming.Validation.Service"
"SMG.Text.LegacyCommentsMover.App","SMG.Text.LegacyCommentsMover.App"
"SMG.Text.ThemesAggregator","SMG.Text.ThemesAggregator"
"SMG.TextAnalytics.SentimentCorrection","SMG.TextAnalytics.SentimentCorrection"
"SMG.TextAnalytics.TABLRunner","SMG.TextAnalytics.TABLRunner"
"SMG.Transaction.File.Watcher.App","SMG.Transaction.File.Watcher.App"
"SMG.Transaction.Service (Instance: 001)","SMG.Transaction.Service$001"
"SMG.Transaction.Service (Instance: 002)","SMG.Transaction.Service$002"
"SMG.Transaction.Service (Instance: 003)","SMG.Transaction.Service$003"
"SMG.Transaction.Service (Instance: 004)","SMG.Transaction.Service$004"
"SMG.Transaction.Service (Instance: 005)","SMG.Transaction.Service$005"
"SMG.Transaction.Service (Instance: 006)","SMG.Transaction.Service$006"
"SMG.Transaction.Service","SMG.Transaction.Service"
"SMG.Transaction.Service","smg.transaction.service"
"SMG.TranslationPersistenceService","SMG.TranslationPersistenceService"
"SMG.Utilities.Logging.Monitor (Instance: 001)","SMG.Utilities.Logging.Monitor$001"
"SMG.Utilities.Logging.Monitor (Instance: 002)","SMG.Utilities.Logging.Monitor$002"
"SMG.Utilities.Logging.Monitor (Instance: 003)","SMG.Utilities.Logging.Monitor$003"
"SMG.Utilities.Logging.Monitor (Instance: 1)","SMG.Utilities.Logging.Monitor$1"
"SMG.Utilities.Logging.Monitor (Instance: 2)","SMG.Utilities.Logging.Monitor$2"
"SMG.Utilities.Logging.Monitor","SMG.Utilities.Logging.Monitor"
"SMS Agent Host","CcmExec"
"SNMP Service","SNMP"
"SNMP Trap","SNMPTRAP"
"SQL Active Directory Helper Service","MSSQLServerADHelper100"
"SQL Full-text Filter Daemon Launcher (INTERNAL)","MSSQLFDLauncher$INTERNAL"
"SQL Full-text Filter Daemon Launcher (PDS)","MSSQLFDLauncher$PDS"
"SQL Full-text Filter Daemon Launcher (SMGJOBS)","MSSQLFDLauncher$SMGJOBS"
"SQL Full-text Filter Daemon Launcher (SMGODS)","MSSQLFDLauncher$SMGODS"
"SQL Full-text Filter Daemon Launcher (SMGOPS)","MSSQLFDLauncher$SMGOPS"
"SQL Full-text Filter Daemon Launcher (SMGREPORT)","MSSQLFDLauncher$SMGREPORT"
"SQL Full-text Filter Daemon Launcher (SMGTRANS)","MSSQLFDLauncher$SMGTRANS"
"SQL Full-text Filter Daemon Launcher (SQLEXPRESS)","MSSQLFDLauncher$SQLEXPRESS"
"SQL Server (INTERNAL)","MSSQL$INTERNAL"
"SQL Server (PDS)","MSSQL$PDS"
"SQL Server (SMGJOBS)","MSSQL$SMGJOBS"
"SQL Server (SMGODS)","MSSQL$SMGODS"
"SQL Server (SMGOPS)","MSSQL$SMGOPS"
"SQL Server (SMGREPORT)","MSSQL$SMGREPORT"
"SQL Server (SMGRSS)","MSSQL$SMGRSS"
"SQL Server (SMGSSAS)","MSSQL$SMGSSAS"
"SQL Server (SMGTRANS)","MSSQL$SMGTRANS"
"SQL Server (SQLEXPRESS)","MSSQL$SQLEXPRESS"
"SQL Server Agent (INTERNAL)","SQLAgent$INTERNAL"
"SQL Server Agent (PDS)","SQLAgent$PDS"
"SQL Server Agent (SMGJOBS)","SQLAgent$SMGJOBS"
"SQL Server Agent (SMGODS)","SQLAgent$SMGODS"
"SQL Server Agent (SMGOPS)","SQLAgent$SMGOPS"
"SQL Server Agent (SMGREPORT)","SQLAgent$SMGREPORT"
"SQL Server Agent (SMGRSS)","SQLAgent$SMGRSS"
"SQL Server Agent (SMGSSAS)","SQLAgent$SMGSSAS"
"SQL Server Agent (SMGTRANS)","SQLAgent$SMGTRANS"
"SQL Server Agent (SQLEXPRESS)","SQLAgent$SQLEXPRESS"
"SQL Server Analysis Services (INTERNAL)","MSOLAP$INTERNAL"
"SQL Server Analysis Services (PDS)","MSOLAP$PDS"
"SQL Server Analysis Services (SMGJOBS)","MSOLAP$SMGJOBS"
"SQL Server Analysis Services (SMGODS)","MSOLAP$SMGODS"
"SQL Server Analysis Services (SMGOPS)","MSOLAP$SMGOPS"
"SQL Server Analysis Services (SMGREPORT)","MSOLAP$SMGREPORT"
"SQL Server Analysis Services (SMGSSAS)","MSOLAP$SMGSSAS"
"SQL Server Analysis Services (SMGTRANS)","MSOLAP$SMGTRANS"
"SQL Server Analysis Services (SSASMULTI)","MSOLAP$SSASMULTI"
"SQL Server Analysis Services CEIP (INTERNAL)","SSASTELEMETRY$INTERNAL"
"SQL Server Analysis Services CEIP (PDS)","SSASTELEMETRY$PDS"
"SQL Server Analysis Services CEIP (SMGJOBS)","SSASTELEMETRY$SMGJOBS"
"SQL Server Analysis Services CEIP (SMGODS)","SSASTELEMETRY$SMGODS"
"SQL Server Analysis Services CEIP (SMGOPS)","SSASTELEMETRY$SMGOPS"
"SQL Server Analysis Services CEIP (SMGREPORT)","SSASTELEMETRY$SMGREPORT"
"SQL Server Analysis Services CEIP (SMGSSAS)","SSASTELEMETRY$SMGSSAS"
"SQL Server Analysis Services CEIP (SMGTRANS)","SSASTELEMETRY$SMGTRANS"
"SQL Server Analysis Services CEIP (SSASMULTI)","SSASTELEMETRY$SSASMULTI"
"SQL Server Browser","SQLBrowser"
"SQL Server CEIP service (INTERNAL)","SQLTELEMETRY$INTERNAL"
"SQL Server CEIP service (PDS)","SQLTELEMETRY$PDS"
"SQL Server CEIP service (SMGJOBS)","SQLTELEMETRY$SMGJOBS"
"SQL Server CEIP service (SMGODS)","SQLTELEMETRY$SMGODS"
"SQL Server CEIP service (SMGOPS)","SQLTELEMETRY$SMGOPS"
"SQL Server CEIP service (SMGREPORT)","SQLTELEMETRY$SMGREPORT"
"SQL Server CEIP service (SMGRSS)","SQLTELEMETRY$SMGRSS"
"SQL Server CEIP service (SMGSSAS)","SQLTELEMETRY$SMGSSAS"
"SQL Server CEIP service (SMGTRANS)","SQLTELEMETRY$SMGTRANS"
"SQL Server Integration Services 13.0","MsDtsServer130"
"SQL Server Integration Services 14.0","MsDtsServer140"
"SQL Server Integration Services 15.0","MsDtsServer150"
"SQL Server Integration Services CEIP service 13.0","SSISTELEMETRY130"
"SQL Server Integration Services CEIP service 14.0","SSISTELEMETRY140"
"SQL Server Integration Services CEIP service 15.0","SSISTELEMETRY150"
"SQL Server Integration Services Scale Out Master 14.0","SSISScaleOutMaster140"
"SQL Server Integration Services Scale Out Worker 14.0","SSISScaleOutWorker140"
"SQL Server Reporting Services (INTERNAL)","ReportServer$INTERNAL"
"SQL Server Reporting Services (MSSQLSERVER)","ReportServer"
"SQL Server Reporting Services (SMGOPS)","ReportServer$SMGOPS"
"SQL Server Reporting Services (SQLEXPRESS)","ReportServer$SQLEXPRESS"
"SQL Server Reporting Services","SQLServerReportingServices"
"SQL Server VSS Writer","SQLWriter"
"SQLdm Collection Service (Default)","SQLdmCollectionService$Default"
"SQLdm Management Service (Default)","SQLdmManagementService$Default"
"SQLdm Predictive Analytics Service (Default)","SQLdmPredictiveAnalyticsService$Default"
"SQLdm Rest Service (Default)","SQLdmRegistrationService$Default"
"SSDP Discovery","SSDPSRV"
"Secondary Logon","seclogon"
"Secure Socket Tunneling Protocol Service","SstpSvc"
"Security Accounts Manager","SamSs"
"Sensor Data Service","SensorDataService"
"Sensor Monitoring Service","SensrSvc"
"Sensor Service","SensorService"
"SentryOne Monitoring Service","SQLSentryServer"
"Server","LanmanServer"
"Shared PC Account Manager","shpamsvc"
"Shell Hardware Detection","ShellHWDetection"
"Smart Card Device Enumeration Service","ScDeviceEnum"
"Smart Card Removal Policy","SCPolicySvc"
"Smart Card","SCardSvr"
"Software Protection","sppsvc"
"Special Administration Console Helper","sacsvr"
"Spot Verifier","svsvc"
"State Repository Service","StateRepository"
"Stats Monitor Service","StatsMonitorService"
"Still Image Acquisition Events","WiaRpc"
"Storage Service","StorSvc"
"Storage Tiers Management","TieringEngineService"
"Superfetch","SysMain"
"SurveyBackfillServiceHost","SurveyBackfillServiceHost"
"Symantec Endpoint Protection Local Proxy Service","SepLpsService"
"Symantec Endpoint Protection Scan Service","SepScanService"
"Symantec Endpoint Protection WSC Service","sepWscSvc"
"Symantec Endpoint Protection","SepMasterService"
"Symantec Network Access Control","SNAC"
"SysMain","SysMain"
"System Event Notification Service","SENS"
"System Events Broker","SystemEventsBroker"
"System Guard Runtime Monitor Broker","SgrmBroker"
"TCP/IP NetBIOS Helper","lmhosts"
"Target Manager","TargetMgr"
"Task Scheduler","Schedule"
"Telephony","TapiSrv"
"Telephony","tapisrv"
"TextAnalytics.RealTimeConfigurationEngine","TextAnalytics.RealTimeConfigurationEngine"
"Themes","Themes"
"Thread Ordering Server","THREADORDER"
"Tile Data model server","tiledatamodelsvc"
"Time Broker","TimeBroker"
"Time Broker","TimeBrokerSvc"
"TntDrive Service","TntDriveService"
"Touch Keyboard and Handwriting Panel Service","TabletInputService"
"Tracing Service for Search in Exchange ","SearchExchangeTracing"
"UPnP Device Host","upnphost"
"Update Orchestrator Service for Windows Update","UsoSvc"
"Update Orchestrator Service","UsoSvc"
"User Access Logging Service","UALSVC"
"User Experience Virtualization Service","UevAgentService"
"User Manager","UserManager"
"User Profile Service","ProfSvc"
"VMware Alias Manager and Ticket Service","VGAuthService"
"VMware CAF AMQP Communication Service","VMwareCAFCommAmqpListener"
"VMware CAF Management Agent Service","VMwareCAFManagementAgentHost"
"VMware Physical Disk Helper Service","VMware Physical Disk Helper Service"
"VMware SVGA Helper Service","VM3DService"
"VMware SVGA Helper Service","vm3dservice"
"VMware Snapshot Provider","vmvss"
"VMware Tools","VMTools"
"VSTS Agent (tfs.agt.docker.2.150_12)","vstsagent.tfs.agt.docker.2.150_12"
"Virtual Disk","vds"
"Visual Studio Installer Elevation Service","VSInstallerElevationService"
"Visual Studio Standard Collector Service 150","VSStandardCollectorService150"
"Visual Studio Standard Collector Service","VSStandardCollectorService140"
"Volume Shadow Copy","VSS"
"W3C Logging Service","w3logsvc"
"WMI Performance Adapter","wmiApSrv"
"WalletService","WalletService"
"WarpJITSvc","WarpJITSvc"
"Web Account Manager","TokenBroker"
"Web Deployment Agent Service","MsDepSvc"
"Web Management Service","WMSVC"
"WebClient","WebClient"
"WinHTTP Web Proxy Auto-Discovery Service","WinHttpAutoProxySvc"
"Windows Audio Endpoint Builder","AudioEndpointBuilder"
"Windows Audio","Audiosrv"
"Windows Azure Guest Agent","WindowsAzureGuestAgent"
"Windows Biometric Service","WbioSrvc"
"Windows Camera Frame Server","FrameServer"
"Windows Color System","WcsPlugInService"
"Windows Connection Manager","Wcmsvc"
"Windows Defender Advanced Threat Protection Service","Sense"
"Windows Defender Antivirus Network Inspection Service","WdNisSvc"
"Windows Defender Antivirus Service","WinDefend"
"Windows Defender Firewall","mpssvc"
"Windows Defender Network Inspection Service","WdNisSvc"
"Windows Defender Service","WinDefend"
"Windows Driver Foundation - User-mode Driver Framework","wudfsvc"
"Windows Encryption Provider Host Service","WEPHOSTSVC"
"Windows Error Reporting Service","WerSvc"
"Windows Event Collector","Wecsvc"
"Windows Event Log","EventLog"
"Windows Firewall","MpsSvc"
"Windows Font Cache Service","FontCache"
"Windows Image Acquisition (WIA)","stisvc"
"Windows Insider Service","wisvc"
"Windows Installer","msiserver"
"Windows License Manager Service","LicenseManager"
"Windows Management Instrumentation","Winmgmt"
"Windows Media Player Network Sharing Service","WMPNetworkSvc"
"Windows Mobile Hotspot Service","icssvc"
"Windows Modules Installer","TrustedInstaller"
"Windows Presentation Foundation Font Cache 3.0.0.0","FontCache3.0.0.0"
"Windows Process Activation Service","WAS"
"Windows Push Notifications System Service","WpnService"
"Windows PushToInstall Service","PushToInstall"
"Windows Remote Management (WS-Management)","WinRM"
"Windows Search","WSearch"
"Windows Security Service","SecurityHealthService"
"Windows Store Service (WSService)","WSService"
"Windows Time","W32Time"
"Windows Update Medic Service","WaaSMedicSvc"
"Windows Update","wuauserv"
"Wired AutoConfig","dot3svc"
"Workstation","LanmanWorkstation"
"World Wide Web Publishing Service","W3SVC"
"Xbox Live Auth Manager","XblAuthManager"
"Xbox Live Game Save","XblGameSave"
"dmwappushsvc","dmwappushservice"
"filebeat","filebeat"
"windows_exporter","windows_exporter"
,"Sense"
